"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 20 11:22:25 CET 2025","Thu Mar 20 11:22:55 CET 2025","30168","chromium","test-19.spec.ts","","","","test",""
"passed","Wed Mar 19 19:50:07 CET 2025","Wed Mar 19 19:50:32 CET 2025","25629","chromium","test-17.spec.ts","","","","Click on Irene Smith and open dropdown menu",""
"passed","Wed Mar 19 23:06:22 CET 2025","Wed Mar 19 23:06:48 CET 2025","26531","chromium","test-4.spec.ts","","","","Salesforce Enrollment Link Click (Simplified Version)",""
"passed","Thu Mar 20 11:44:21 CET 2025","Thu Mar 20 11:44:50 CET 2025","28284","chromium","test-18.spec.ts","","","","test",""
"broken","Thu Mar 20 11:21:34 CET 2025","Thu Mar 20 11:22:04 CET 2025","30078","chromium","test-4.spec.ts","","","","Salesforce Enrollment Link Click (Optimized)",""
